hour,count
0,28
1,31
2,18
3,4
4,5
5,13
6,38
7,123
8,221
9,168
10,109
11,115
12,141
13,158
14,152
15,171
16,189
17,274
18,142
19,127
20,83
21,56
22,55
23,49
