hour,count
0,127
1,93
2,67
3,14
4,14
5,27
6,133
7,582
8,687
9,505
10,306
11,483
12,338
13,526
14,525
15,640
16,764
17,980
18,707
19,589
20,462
21,318
22,240
23,154
